,Airline Name,Overall_Rating,Review_Title,Review,Type Of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,departure,destination,in_usa,destination_country,destination_in_USA,flight_type,Preprocessed_Reviews,compound_vader,Sentiment_tb,category_tb,category_vader
10,Aer Lingus,1,"""we are left to our own devices""","Welcome to post covid travel! I can accept many things, especially because of covid. Airline flights cancelled, lack of full staff, the list goes on. So, for this summer expect a whole lot of cancelled flights. So lets look at what a cancelled flight looks like in this post covid era. First off you'll get a message that your flight is delayed. Ok, so we'll just hang out in the club lounge a little longer, have a bite to eat, a beverage and just relax. Maybe an hour later check on how the flight is going and oh my! The gate looks like a scene at a border crossing: Its humid, its hot, there are people laying on the ground, babies are crying. Real hell on earth...well back to club for me! Then 3 hours after our plane should have left they announce flight cancelled. I go the gate and again see a scene of human misery, that's passengers I'm talking about, not Aer Lingus employees, they've booked it for the exits and gone home (probably high-fiving each other with, 'great job today!'). So we are left to our own devices and somehow all wonder to check-in like zombies out of a horror film (and the babies are still crying). An hour passes (it's now 10pm and we have been at the airport since 3pm) and word filters down that our luggage is in baggage claim. Off we all go to pick up our luggage (picture zombies trudging with a suitcase (and I wonder how those zombies with babies picked up their luggage?) Again we are at check-in with no Aer Lingus staff. Finally at 11pm someone who is not Aer Lingus starts to sort through this misery and give us direction, hotel, call this number, etc. And now for the zinger, not once, not at any time did any Aer Lingus staff show any humanity for the 3 or 6 month old babies that were crying. I saw one mother patiently comforting her baby in stoic solitude, showing her character and instilling in her baby what true character is. This is what I saw and learned that night and what I saw from Aer Lingus? Not a damn thing!",Couple Leisure,Business Class,5/1/2023,3,1,1,1,2,2,San Francisco,Dublin,True,Ireland,False,International,welcom post covid travel accept mani thing especi covid airlin flight cancel lack full staff list goe summer expect whole lot cancel flight let look cancel flight look like post covid era first 'll get messag flight delay ok 'll hang club loung littl longer bite eat beverag relax mayb hour later check flight go oh gate look like scene border cross humid hot peopl lay ground babi cri real hell earthwel back club 3 hour plane left announc flight cancel go gate see scene human miseri 's passeng 'm talk aer lingu employe 've book exit gone home probabl highfiv 'great job today ' left devic somehow wonder checkin like zombi horror film babi still cri hour pass 's 10pm airport sinc 3pm word filter luggag baggag claim go pick luggag pictur zombi trudg suitcas wonder zombi babi pick luggag checkin aer lingu staff final 11pm someon aer lingu start sort miseri give us direct hotel call number etc zinger time aer lingu staff show human 3 6 month old babi cri saw one mother patient comfort babi stoic solitud show charact instil babi true charact saw learn night saw aer lingu damn thing,0.3182,0.172222222,Positive,Neutral
11,Aer Lingus,3,"""shoddy customer service""","The security is amazing so quick it's almost worth the way you are treated on the flight, almost. Going from Dublin to LA we had a engine fault. Totally get it - it could happen to any good airline. We were trapped on the flight for one and a half hours before air conditioning could be turned on. Then we were freezing. After a two hour delay we were off. This was my first long haul with Aer Lingus post covid - a lot has changed. The bar came round once! What you are not told is there is no complementary wine with your meal just a tiny tiny cup of water. Luckily for me I ordered two drinks to see me through to past dinner. Food was OK - as soon as dinner was served the cabin staff disappeared and I mean disappeared! I found them all about 5 hours later literally hiding in the galley. I asked if I could purchase a bottle of water ( gone are the heady days when someone quietly came round the cabin asking if anyone required water on an 11 hour flight) no we have no bottles I was told. Some one took pity on me and gave me one from business class. As a walked back to my seat clutching my bottle other travellers gasped with cracked lips ""where did you get that"" that was going to LA on way back exactly the same issues only I told the line to buy water before boarding. We landed in Dublin to something described as a breakfast burrito (it was hell on earth) and to add insult to injury we were not even offered a coffee! Shame on you Aer Lingus, shoddy shoddy customer service - in case anyone is wondering it was a £750 ticket. This is definitely what I would call a no frills air line. Funnily enough I was offered a coffee to purchase from Dublin to Edinburgh. Too little too late absolutely shameful.",Solo Leisure,Economy Class,5/1/2023,3,1,1,3,4,2,Los Angeles,Dublin,True,Ireland,False,International,secur amaz quick 's almost worth way treat flight almost go dublin la engin fault total get could happen good airlin trap flight one half hour air condit could turn freez two hour delay first long haul aer lingu post covid lot chang bar came round told complementari wine meal tini tini cup water luckili order two drink see past dinner food ok soon dinner serv cabin staff disappear mean disappear found 5 hour later liter hide galley ask could purchas bottl water gone headi day someon quietli came round cabin ask anyon requir water 11 hour flight bottl told one took piti gave one busi class walk back seat clutch bottl travel gasp crack lip get go la way back exactli issu told line buy water board land dublin someth describ breakfast burrito hell earth add insult injuri even offer coffe shame aer lingu shoddi shoddi custom servic case anyon wonder 750 ticket definit would call frill air line funnili enough offer coffe purchas dublin edinburgh littl late absolut shame,-0.9498,0.035539216,Neutral,Negative
12,Aer Lingus,3,"""ground crew was rude beyond imagination""","They have gone downhill since Covid. I used to be happy with Aer Lingus pre Covid. But now this airline is a complete waste of money and time. The plane was dirty. The tables have not been cleaned, butter and coke was sticking on it. There was no pocket on the seat. But the biggest failure were the staff at Dublin airport. The ground crew was rude beyond imagination.  The woman at the gate yelled at me and others, ripped my boarding pass out of my hand and was really disrespectful. That was not what I was paying for. The other staff were fairly disinterested in service of any kind. Felt like they have a miserable job so anyone else should have to suffer. This was the last time for me traveling with Aer Lingus. There is no value traveling Aer Lingus anymore and I strongly recommend choosing a proper airline. Sorry Aer Lingus, but it is in your hands.",Family Leisure,Economy Class,5/1/2023,2,3,2,1,3,2,New York,Frankfurt,True,Germany,False,International,gone downhil sinc covid use happi aer lingu pre covid airlin complet wast money time plane dirti tabl clean butter coke stick pocket seat biggest failur staff dublin airport ground crew rude beyond imagin woman gate yell other rip board pass hand realli disrespect pay staff fairli disinterest servic kind felt like miser job anyon els suffer last time travel aer lingu valu travel aer lingu anymor strongli recommend choos proper airlin sorri aer lingu hand,0.6124,0.090277778,Positive,Positive
13,Aer Lingus,1,"""the online booking is a joke""","I am flying in May, but after dealing with the airline I have great doubts about it. First off the online booking is a joke because they do not update their fares so by the time (5 minutes) you try to pay...you are unable to. Then you try to do it via the phone and all you get are non native English speaking ""service reps"", who can not understand you and you can't understand them (FYI I flew as a second office on a regional so I know my diction is good). I am fully expecting the same on the flight.",Solo Leisure,Economy Class,4/1/2023,1,1,3,1,2,2,Hartford,Dublin,True,Ireland,False,International,fli may deal airlin great doubt first onlin book joke updat fare time 5 minut tri payyou unabl tri via phone get non nativ english speak servic rep understand ca n't understand fyi flew second offic region know diction good fulli expect flight,0.7276,0.35,Positive,Positive
14,Aer Lingus,6,"""FAs were helpful but firm""","Nothing to write home about. Seats were a bit cramped, food tasted bland, no free alcoholic beverages on my flight (which I had previously assumed was standard on trans Atlantic flights but maybe I am mistaken). FAs were helpful but firm, IFE options left some to be desired. We got these tickets for ~$400 less than the closest competitor however, so I suppose we definitely got what we paid for. Dublin airport transfer was painless and second leg (Dublin to Paris) was a short breeze.",Couple Leisure,Economy Class,9/1/2022,1,3,1,3,3,2,Los Angeles,Paris,True,France,False,International,noth write home seat bit cramp food tast bland free alcohol beverag flight previous assum standard tran atlant flight mayb mistaken fa help firm ife option left desir got ticket 400 less closest competitor howev suppos definit got paid dublin airport transfer painless second leg dublin pari short breez,0.5994,-0.033333333,Neutral,Positive
15,Aer Lingus,4,"""notorious for losing people’s luggage""","Aer Lingus have lost my luggage, not once, not twice, but 3 times! All 3 times I have flown on them from Washington DC to Glasgow, they have lost my luggage while transiting Dublin. I arrived in Glasgow on Wednesday morning, and I still haven’t received my luggage today, 4 days later. I leave the UK on Thursday 1/12. Just ridiculous, when I call the number for missing bags, I got through to a woman who was completely unhelpful and vague as ever. She told that my bags were out for delivery and have been out for delivery for 24 hours now, and they still haven’t arrived. Aer Lingus are notorious for losing people’s luggage",Solo Leisure,Economy Class,1/1/2023,4,4,4,3,5,2,Washington,Glasgow,True,United Kingdom,False,International,aer lingu lost luggag twice 3 time 3 time flown washington dc glasgow lost luggag transit dublin arriv glasgow wednesday morn still havent receiv luggag today 4 day later leav uk thursday 112 ridicul call number miss bag got woman complet unhelp vagu ever told bag deliveri deliveri 24 hour still havent arriv aer lingu notori lose peopl luggag,-0.765,0.0,Neutral,Negative
16,Aer Lingus,2,"""Wouldn't fly them again""","My experience with Aer Lingus was not very good. The airline was a step above a budget airline. Here's what was average the seats, the onboard service, and the entertainment options. The airline meals were tiny and hardly filled you up. The wifi did not work on any of our flights. However, it was upon arriving in Dublin that our problems began. We had a three hour delay due to ""weather"" despite the fact that the sun was shining and there was almost zero snow or ice on the ground. It took hours for them to de-ice the plane which is the airlines responsibility. The ground crew never told any of the passengers what was happening or how long we could expect to be delayed. The zero communication was very frustrating. The short flight to London had no complementary beverages of any sort despite the long delay. On our return flight to the U.S., in the Gatwick airport there was a single gate agent checking in 80+ passengers. We stood in line for almost an hour. Why Aer Lingus? We almost missed our flight despite arriving to the airport two hours early. The airline's apps and online website never worked and we were unable to check in before we arrived to the airport which meant we were confined to the very last row on the plane. Wouldn't fly them again unless it was super super cheap or there were no other options.",Solo Leisure,Economy Class,12/1/2022,2,2,2,1,2,1,Washington,London,True,United Kingdom,False,International,experi aer lingu good airlin step budget airlin 's averag seat onboard servic entertain option airlin meal tini hardli fill wifi work flight howev upon arriv dublin problem began three hour delay due weather despit fact sun shine almost zero snow ice ground took hour deic plane airlin respons ground crew never told passeng happen long could expect delay zero commun frustrat short flight london complementari beverag sort despit long delay return flight us gatwick airport singl gate agent check 80 passeng stood line almost hour aer lingu almost miss flight despit arriv airport two hour earli airlin 's app onlin websit never work unabl check arriv airport meant confin last row plane would n't fli unless super super cheap option,-0.875,0.171296296,Positive,Negative
17,Aer Lingus,1,"""avoid Aer Lingus at all costs""","Just a general warning to avoid Aer Lingus at all costs. Their planes are very old, felt like I was in a 70’s film. That didn’t bother me at all but just thought I’d note that. The main problem was the constant delays. Sure there was a issue with ice when the plane was en route to Chicago so it got delayed which is understandable. However this delay was not made known to anyone on the flight and after the gate changing 3 times and 4 hours after the plane was supposed to take off did the counter staff arrive and make an announcement of the delay which would cause my partner and I to miss our connection on Aer Lingus as well to Portugal. I called customer service 4 times, waited on hold for a total of 3 hrs only to be hung up on all 4 times and told to call Alaska who we booked through, though each time Alaska told us Aer Lingus has to make the changes and Aer Lingus refused to make the changes when Alaska told us Aer Lingus had to do it. Ended up having to make the change in Dublin airport. Overall awful experience.",Couple Leisure,Economy Class,12/1/2022,1,2,2,1,1,1,Chicago,Dublin,True,Ireland,False,International,gener warn avoid aer lingu cost plane old felt like 70 film didnt bother thought id note main problem constant delay sure issu ice plane en rout chicago got delay understand howev delay made known anyon flight gate chang 3 time 4 hour plane suppos take counter staff arriv make announc delay would caus partner miss connect aer lingu well portug call custom servic 4 time wait hold total 3 hr hung 4 time told call alaska book though time alaska told us aer lingu make chang aer lingu refus make chang alaska told us aer lingu end make chang dublin airport overal aw experi,-0.7322,0.153333333,Positive,Negative
18,Aer Lingus,1,"""telling me I would be fully reimbursed""","Atrocious. +6 hour delays. Left stranded in the connecting airport due to the delay, causing us to miss our connecting flight. No customer assistance in getting to our final destination. Had to book my own alternate flight on my own dime. Awful customer service. Still haven't gotten my money back 2 months after the flight, despite all the airline people telling me I would be fully reimbursed while I was stranded. The planes are old with broken infotainment systems.",Solo Leisure,Economy Class,9/1/2022,1,1,1,1,1,1,Chicago,Venice,True,Italy,False,International,atroci 6 hour delay left strand connect airport due delay caus us miss connect flight custom assist get final destin book altern flight dime aw custom servic still n't gotten money back 2 month flight despit airlin peopl tell would fulli reimburs strand plane old broken infotain system,-0.8074,-0.070833333,Negative,Negative
19,Aer Lingus,1,"""Absolutely disgusting airline""","Absolutely disgusting airline. If I ever had to use them again I would sooner not go on holiday. Food not good. Lack of snacks, only soft drinks included, no wine List goes on. That’s before I start on the delays.",Family Leisure,Economy Class,11/1/2022,1,1,1,1,3,3,Orlando,Manchester,True,United Kingdom,False,International,absolut disgust airlin ever use would sooner go holiday food good lack snack soft drink includ wine list goe that start delay,-0.4404,0.4,Positive,Neutral
